caliber,city,year,E_index,I_index,C,T,D,CCD_level,障碍_供给规模,障碍_供给质量,障碍_产业承接,障碍_产业转化,主障碍环节,城市类型,演化路径
C,三明,2019,,,,,,不可计算,,0.5,0.5,,供给质量,不可计算,低位波动型
C,三明,2020,,0.039619,,,,不可计算,,0.342377,0.316061,0.341562,供给质量,不可计算,低位波动型
C,三明,2021,0.052702,0.046802,0.998241,0.049752,0.222855,中度失调,0.235359,0.263089,0.241179,0.260373,供给质量,双低失调,低位波动型
C,三明,2022,0.041383,0.038985,0.999555,0.040184,0.200415,中度失调,0.238909,0.260467,0.240792,0.259832,供给质量,双低失调,低位波动型
C,三明,2023,0.059562,0.079474,0.989692,0.069518,0.2623,中度失调,0.236672,0.268678,0.228269,0.266381,供给质量,双低失调,低位波动型
C,三明,2024,0.052096,0.059015,0.998059,0.055556,0.235474,中度失调,0.237126,0.264706,0.243801,0.254367,供给质量,双低失调,低位波动型
C,南平,2019,,0.041471,,,,不可计算,,0.342811,0.314472,0.342717,供给质量,不可计算,数据不足
C,南平,2020,0.0,0.033055,,,,不可计算,0.254201,0.254201,0.23793,0.253668,供给规模,不可计算,数据不足
C,南平,2021,,0.031947,,,,不可计算,,0.340587,0.322681,0.336732,供给质量,不可计算,数据不足
C,南平,2022,,0.031714,,,,不可计算,,0.340533,0.320294,0.339173,供给质量,不可计算,数据不足
C,南平,2023,0.023604,0.028279,0.995933,0.025941,0.160735,严重失调,0.244542,0.256658,0.242699,0.256101,供给质量,双低失调,数据不足
C,南平,2024,0.027821,0.046342,0.968314,0.037081,0.18949,严重失调,0.245181,0.259627,0.245387,0.249805,供给质量,双低失调,数据不足
C,厦门,2019,0.020731,0.761718,0.321201,0.391224,0.354488,轻度失调,0.393634,0.41066,0.0,0.195706,供给质量,产业领先·教育滞后,跃迁协调型
C,厦门,2020,0.214054,0.744952,0.832788,0.479503,0.631921,初级协调,0.274686,0.48031,0.045186,0.199819,供给质量,产业领先·教育滞后,跃迁协调型
C,厦门,2021,0.21838,0.705701,0.849643,0.46204,0.626554,初级协调,0.261748,0.464719,0.035241,0.238292,供给质量,产业领先·教育滞后,跃迁协调型
C,厦门,2022,0.352127,0.769369,0.928216,0.560748,0.721454,中级协调,0.168324,0.569149,0.061464,0.201063,供给质量,产业领先·教育滞后,跃迁协调型
C,厦门,2023,0.368391,0.86256,0.91588,0.615476,0.750801,中级协调,0.171132,0.650154,0.015329,0.163385,供给质量,产业领先·教育滞后,跃迁协调型
C,厦门,2024,0.368754,0.976833,0.892066,0.672794,0.77471,中级协调,0.200555,0.764044,0.035401,0.0,供给质量,产业领先·教育滞后,跃迁协调型
C,宁德,2019,,0.031394,,,,不可计算,,0.340459,0.319082,0.340459,供给质量,不可计算,低位波动型
C,宁德,2020,0.171326,0.025768,0.674226,0.098547,0.257765,中度失调,0.182302,0.27733,0.266065,0.274303,供给质量,双低失调,低位波动型
C,宁德,2021,0.082225,0.030854,0.890852,0.056539,0.224428,中度失调,0.221406,0.264982,0.254004,0.259608,供给质量,双低失调,低位波动型
C,宁德,2022,0.081198,0.063614,0.9926,0.072406,0.268086,中度失调,0.225746,0.269514,0.255373,0.249367,供给质量,双低失调,低位波动型
C,宁德,2023,0.084556,0.113306,0.989387,0.098931,0.31286,轻度失调,0.230529,0.277448,0.256479,0.235545,供给质量,双低失调,低位波动型
C,宁德,2024,0.02429,0.108773,0.772588,0.066532,0.226719,中度失调,0.254808,0.267818,0.254821,0.222553,供给质量,双低失调,低位波动型
C,泉州,2019,0.001796,0.047974,0.372963,0.024885,0.096339,极度失调,0.255459,0.25638,0.235993,0.252167,供给质量,双低失调,稳定提升型
C,泉州,2020,0.065577,0.059989,0.999009,0.062783,0.250442,中度失调,0.231762,0.266747,0.244767,0.256723,供给质量,双低失调,稳定提升型
C,泉州,2021,0.127272,0.056571,0.923095,0.091921,0.291294,中度失调,0.205229,0.275307,0.25336,0.266104,供给质量,双低失调,稳定提升型
C,泉州,2022,0.159632,0.052157,0.861673,0.105894,0.30207,轻度失调,0.19034,0.279609,0.261459,0.268592,供给质量,双低失调,稳定提升型
C,泉州,2023,0.186035,0.062771,0.868651,0.124403,0.328729,轻度失调,0.179286,0.285519,0.267714,0.26748,供给质量,双低失调,稳定提升型
C,泉州,2024,0.216636,0.077776,0.881785,0.147206,0.360283,轻度失调,0.166139,0.293154,0.276045,0.264662,供给质量,双低失调,稳定提升型
C,漳州,2019,,0.031824,,,,不可计算,,0.340559,0.323673,0.335769,供给质量,不可计算,低位波动型
C,漳州,2020,0.038745,0.035295,0.998914,0.03702,0.192301,严重失调,0.239493,0.259611,0.247687,0.253208,供给质量,双低失调,低位波动型
C,漳州,2021,0.029682,0.031001,0.999764,0.030342,0.174168,严重失调,0.242517,0.257823,0.247682,0.251978,供给质量,双低失调,低位波动型
C,漳州,2022,0.029699,0.03131,0.999651,0.030504,0.174624,严重失调,0.242549,0.257866,0.247567,0.252017,供给质量,双低失调,低位波动型
C,漳州,2023,0.030796,0.031106,0.999987,0.030951,0.175928,严重失调,0.242095,0.257985,0.252051,0.247869,供给质量,双低失调,低位波动型
C,漳州,2024,0.032757,0.04292,0.990943,0.037839,0.193638,严重失调,0.242809,0.259832,0.254218,0.243141,供给质量,双低失调,低位波动型
C,福州,2019,0.028424,0.495042,0.453218,0.261733,0.344415,轻度失调,0.31938,0.338631,0.048912,0.293077,供给质量,产业领先·教育滞后,稳定提升型
C,福州,2020,0.195578,0.524655,0.889517,0.360117,0.565977,勉强协调,0.237873,0.390696,0.059071,0.31236,供给质量,产业领先·教育滞后,稳定提升型
C,福州,2021,0.650891,0.56993,0.997799,0.61041,0.780427,中级协调,0.448047,0.0,0.080461,0.471492,产业转化,双高协调,稳定提升型
C,福州,2022,0.789573,0.588874,0.989344,0.689224,0.82576,良好协调,0.338551,0.0,0.123508,0.537941,产业转化,教育领先·产业滞后,稳定提升型
C,福州,2023,0.862682,0.649842,0.99005,0.756262,0.865296,良好协调,0.281692,0.0,0.179216,0.539092,产业转化,教育领先·产业滞后,稳定提升型
C,福州,2024,1.0,0.716054,0.986216,0.858027,0.919891,优质协调,0.0,0.0,0.250676,0.749324,产业转化,教育领先·产业滞后,稳定提升型
C,莆田,2019,0.249389,,,,,不可计算,0.201007,0.401035,,0.397958,供给质量,不可计算,低位波动型
C,莆田,2020,0.333613,0.044732,0.645762,0.189173,0.349515,轻度失调,0.102603,0.308327,0.288286,0.300784,供给质量,教育领先·产业滞后,低位波动型
C,莆田,2021,0.336691,0.036397,0.59343,0.186544,0.332717,轻度失调,0.10038,0.307331,0.293391,0.298898,供给质量,教育领先·产业滞后,低位波动型
C,莆田,2022,0.190244,0.037165,0.739511,0.113705,0.289976,中度失调,0.174748,0.282073,0.268033,0.275147,供给质量,双低失调,低位波动型
C,莆田,2023,0.167973,0.046315,0.823215,0.107144,0.296989,中度失调,0.185936,0.28,0.262717,0.271347,供给质量,双低失调,低位波动型
C,莆田,2024,0.124617,0.046039,0.887686,0.085328,0.275216,中度失调,0.205201,0.273322,0.259941,0.261536,供给质量,双低失调,低位波动型
C,龙岩,2019,,0.041581,,,,不可计算,,0.342837,0.318135,0.339028,供给质量,不可计算,数据不足
C,龙岩,2020,,0.066116,,,,不可计算,,0.348703,0.313349,0.337948,供给质量,不可计算,数据不足
C,龙岩,2021,0.026218,0.108113,0.792666,0.067165,0.230737,中度失调,0.253948,0.268,0.21687,0.261182,供给质量,双低失调,数据不足
C,龙岩,2022,0.023462,0.120406,0.738877,0.071934,0.230543,中度失调,0.256737,0.269377,0.229927,0.243959,供给质量,双低失调,数据不足
C,龙岩,2023,,0.11258,,,,不可计算,,0.360381,0.310249,0.32937,供给质量,不可计算,数据不足
C,龙岩,2024,,0.116108,,,,不可计算,,0.3613,0.321071,0.317629,供给质量,不可计算,数据不足
B,三明,2019,0.020209,0.000643,0.345786,0.010426,0.060043,极度失调,0.242423,0.252634,0.252634,0.252309,供给质量,双低失调,稳定提升型
B,三明,2020,0.026875,0.041251,0.977481,0.034063,0.182471,严重失调,0.244905,0.258816,0.238923,0.257356,供给质量,双低失调,稳定提升型
B,三明,2021,0.068247,0.048009,0.98473,0.058128,0.23925,中度失调,0.241276,0.253352,0.243324,0.262048,产业转化,双低失调,稳定提升型
B,三明,2022,0.052898,0.043335,0.99505,0.048117,0.218811,中度失调,0.246801,0.250687,0.242799,0.259713,产业转化,双低失调,稳定提升型
B,三明,2023,0.059602,0.084003,0.985458,0.071802,0.266004,中度失调,0.249488,0.257084,0.228831,0.264597,产业转化,双低失调,稳定提升型
B,三明,2024,0.070733,0.059625,0.996363,0.065179,0.254837,中度失调,0.241767,0.255263,0.246311,0.256659,产业转化,双低失调,稳定提升型
B,南平,2019,0.0,0.0475,,,,不可计算,0.256082,0.256082,0.234912,0.252924,供给规模,不可计算,稳定提升型
B,南平,2020,0.016955,0.032005,0.951583,0.02448,0.152627,严重失调,0.247583,0.256274,0.239869,0.256274,供给质量,双低失调,稳定提升型
B,南平,2021,0.023517,0.032029,0.98819,0.027773,0.165665,严重失调,0.256747,0.245442,0.243622,0.254189,供给规模,双低失调,稳定提升型
B,南平,2022,0.027432,0.030569,0.998536,0.029001,0.170171,严重失调,0.255056,0.245752,0.242164,0.257028,产业转化,双低失调,稳定提升型
B,南平,2023,0.037401,0.03015,0.994223,0.033776,0.18325,严重失调,0.251157,0.246966,0.244667,0.257209,产业转化,双低失调,稳定提升型
B,南平,2024,0.039984,0.040416,0.999986,0.0402,0.200498,中度失调,0.251493,0.248619,0.246184,0.253704,产业转化,双低失调,稳定提升型
B,厦门,2019,0.418943,0.885786,0.933795,0.652364,0.780496,中级协调,0.508876,0.326851,0.0,0.164273,供给规模,产业领先·教育滞后,稳定提升型
B,厦门,2020,0.587383,0.877862,0.980152,0.732623,0.847397,良好协调,0.516654,0.254946,0.087962,0.140438,供给规模,产业领先·教育滞后,稳定提升型
B,厦门,2021,0.614147,0.828994,0.988856,0.72157,0.844707,良好协调,0.570497,0.122413,0.068089,0.239001,供给规模,产业领先·教育滞后,稳定提升型
B,厦门,2022,0.675136,0.862452,0.992552,0.768794,0.873537,良好协调,0.555127,0.147415,0.116771,0.180687,供给规模,产业领先·教育滞后,稳定提升型
B,厦门,2023,0.686003,0.945849,0.987241,0.815926,0.897505,良好协调,0.66775,0.185161,0.032022,0.115067,供给规模,产业领先·教育滞后,稳定提升型
B,厦门,2024,0.712739,0.976833,0.987708,0.844786,0.913456,优质协调,0.705783,0.219589,0.074628,0.0,供给规模,产业领先·教育滞后,稳定提升型
B,宁德,2019,,0.033135,,,,不可计算,,0.340863,0.319461,0.339676,供给质量,不可计算,低位波动型
B,宁德,2020,0.060804,0.024803,0.907277,0.042803,0.197065,严重失调,0.229418,0.261179,0.25057,0.258832,供给质量,双低失调,低位波动型
B,宁德,2021,0.006142,0.04013,0.678572,0.023136,0.125297,严重失调,0.252777,0.255921,0.245319,0.245983,供给质量,双低失调,低位波动型
B,宁德,2022,0.005868,0.086483,0.487849,0.046175,0.150088,严重失调,0.259027,0.262103,0.24835,0.230521,供给质量,双低失调,低位波动型
B,宁德,2023,0.01197,0.154805,0.516225,0.083388,0.207477,中度失调,0.266214,0.272743,0.252129,0.208913,供给质量,双低失调,低位波动型
B,宁德,2024,0.004631,0.137342,0.355263,0.070986,0.158804,严重失调,0.26661,0.269103,0.256043,0.208244,供给质量,双低失调,低位波动型
B,泉州,2019,0.080566,0.068959,0.996983,0.074762,0.273014,中度失调,0.238957,0.257907,0.248715,0.254421,供给质量,双低失调,稳定提升型
B,泉州,2020,0.122223,0.070839,0.96393,0.096531,0.30504,轻度失调,0.22166,0.264121,0.25391,0.260308,供给质量,双低失调,稳定提升型
B,泉州,2021,0.211691,0.066932,0.854441,0.139312,0.345012,轻度失调,0.23352,0.224433,0.26731,0.274737,产业转化,双低失调,稳定提升型
B,泉州,2022,0.225149,0.062512,0.824832,0.14383,0.344435,轻度失调,0.226893,0.225617,0.273044,0.274446,产业转化,双低失调,稳定提升型
B,泉州,2023,0.221068,0.067867,0.847857,0.144468,0.349983,轻度失调,0.229447,0.225785,0.273993,0.270775,产业承接,双低失调,稳定提升型
B,泉州,2024,0.258373,0.066975,0.808654,0.162674,0.362694,轻度失调,0.21216,0.230695,0.281145,0.276001,产业承接,双低失调,稳定提升型
B,漳州,2019,0.059526,0.037772,0.974684,0.048649,0.217755,中度失调,0.243456,0.250827,0.249754,0.255962,产业转化,双低失调,稳定提升型
B,漳州,2020,0.091068,0.05033,0.957598,0.070699,0.260195,中度失调,0.256698,0.232343,0.256664,0.254295,供给规模,双低失调,稳定提升型
B,漳州,2021,0.131271,0.034899,0.814643,0.083085,0.260163,中度失调,0.263054,0.21067,0.26193,0.264347,产业转化,双低失调,稳定提升型
B,漳州,2022,0.126493,0.031543,0.799387,0.079018,0.251328,中度失调,0.264486,0.20974,0.260608,0.265166,产业转化,双低失调,稳定提升型
B,漳州,2023,0.124972,0.032804,0.81163,0.078888,0.253037,中度失调,0.265274,0.20971,0.265168,0.259847,供给规模,双低失调,稳定提升型
B,漳州,2024,0.125714,0.033317,0.813903,0.079516,0.254397,中度失调,0.265052,0.209853,0.265728,0.259366,产业承接,双低失调,稳定提升型
B,福州,2019,0.374546,0.601492,0.972592,0.488019,0.688944,初级协调,0.277879,0.332939,0.07053,0.318653,供给质量,产业领先·教育滞后,稳定提升型
B,福州,2020,0.513916,0.650048,0.993137,0.581982,0.760255,中级协调,0.282385,0.29903,0.090424,0.328161,产业转化,产业领先·教育滞后,稳定提升型
B,福州,2021,0.720335,0.680756,0.999601,0.700546,0.836819,良好协调,0.466957,0.0,0.10468,0.428363,供给规模,双高协调,稳定提升型
B,福州,2022,0.823819,0.687478,0.995922,0.755648,0.867506,良好协调,0.360508,0.0,0.157082,0.48241,产业转化,教育领先·产业滞后,稳定提升型
B,福州,2023,0.842119,0.753409,0.998453,0.797764,0.892485,良好协调,0.390339,0.0,0.215994,0.393668,产业转化,教育领先·产业滞后,稳定提升型
B,福州,2024,1.0,0.769114,0.991447,0.884557,0.936478,优质协调,0.0,0.0,0.308283,0.691717,产业转化,教育领先·产业滞后,稳定提升型
B,莆田,2019,0.259495,,,,,不可计算,0.196583,0.408689,,0.394728,供给质量,不可计算,低位波动型
B,莆田,2020,0.23648,0.054912,0.782139,0.145696,0.337571,轻度失调,0.154231,0.292636,0.273615,0.279518,供给质量,双低失调,低位波动型
B,莆田,2021,0.274516,0.047391,0.708648,0.160953,0.337726,轻度失调,0.134369,0.297957,0.284443,0.283231,供给质量,双低失调,低位波动型
B,莆田,2022,0.174377,0.046703,0.816387,0.11054,0.300405,轻度失调,0.183045,0.281069,0.267079,0.268806,供给质量,双低失调,低位波动型
B,莆田,2023,0.125251,0.044921,0.881572,0.085086,0.273879,中度失调,0.2048,0.27325,0.256383,0.265567,供给质量,双低失调,低位波动型
B,莆田,2024,0.081304,0.04362,0.953417,0.062462,0.244033,中度失调,0.223296,0.266656,0.253601,0.256447,供给质量,双低失调,低位波动型
B,龙岩,2019,0.056102,0.048482,0.997342,0.052292,0.228371,中度失调,0.246198,0.251792,0.244787,0.257223,产业转化,双低失调,稳定提升型
B,龙岩,2020,0.040355,0.085887,0.932691,0.063121,0.242636,中度失调,0.257448,0.254702,0.239789,0.248061,供给规模,双低失调,稳定提升型
B,龙岩,2021,0.092958,0.11577,0.99401,0.104364,0.322085,轻度失调,0.239937,0.266431,0.225877,0.267755,产业转化,双低失调,稳定提升型
B,龙岩,2022,0.096574,0.11143,0.997446,0.104002,0.322081,轻度失调,0.237822,0.266323,0.238156,0.257699,供给质量,双低失调,稳定提升型
B,龙岩,2023,0.062348,0.110135,0.960853,0.086241,0.287863,中度失调,0.251928,0.261147,0.235536,0.25139,供给质量,双低失调,稳定提升型
B,龙岩,2024,0.082598,0.106461,0.992003,0.09453,0.306225,轻度失调,0.243051,0.263537,0.245357,0.248054,供给质量,双低失调,稳定提升型
X,三明,2019,0.041722,0.000463,0.208483,0.021093,0.066314,极度失调,0.234076,0.255387,0.255387,0.25515,供给质量,双低失调,稳定提升型
X,三明,2020,0.049635,0.041181,0.995658,0.045408,0.212629,中度失调,0.235894,0.261892,0.241763,0.260451,供给质量,双低失调,稳定提升型
X,三明,2021,0.087828,0.047155,0.953524,0.067492,0.253682,中度失调,0.238294,0.250802,0.245767,0.265137,产业转化,双低失调,稳定提升型
X,三明,2022,0.069076,0.044192,0.975569,0.056634,0.235054,中度失调,0.24549,0.247915,0.244991,0.261603,产业转化,双低失调,稳定提升型
X,三明,2023,0.073808,0.083751,0.998007,0.078779,0.280397,中度失调,0.248823,0.253875,0.230564,0.266738,产业转化,双低失调,稳定提升型
X,三明,2024,0.083466,0.059668,0.986082,0.071567,0.265652,中度失调,0.241689,0.251903,0.248006,0.258402,产业转化,双低失调,稳定提升型
X,南平,2019,0.026585,0.046373,0.962515,0.036479,0.18738,严重失调,0.245669,0.259465,0.238016,0.25685,供给质量,双低失调,稳定提升型
X,南平,2020,0.049083,0.034097,0.983636,0.04159,0.20226,中度失调,0.235242,0.260849,0.244152,0.259758,供给质量,双低失调,稳定提升型
X,南平,2021,0.047421,0.031667,0.979958,0.039544,0.196854,严重失调,0.244022,0.251877,0.246608,0.257493,产业转化,双低失调,稳定提升型
X,南平,2022,0.05214,0.029717,0.961752,0.040929,0.198402,严重失调,0.241915,0.252241,0.245176,0.260669,产业转化,双低失调,稳定提升型
X,南平,2023,0.06067,0.027981,0.929533,0.044326,0.202983,中度失调,0.238312,0.253137,0.247368,0.261184,产业转化,双低失调,稳定提升型
X,南平,2024,0.060886,0.039668,0.977483,0.050277,0.221686,中度失调,0.239691,0.254723,0.248796,0.256789,产业转化,双低失调,稳定提升型
X,厦门,2019,0.496333,0.900398,0.95724,0.698366,0.817621,良好协调,0.514006,0.320891,0.0,0.165103,供给规模,产业领先·教育滞后,稳定提升型
X,厦门,2020,0.692874,0.884751,0.992576,0.788813,0.884848,良好协调,0.498078,0.229062,0.111366,0.161494,供给规模,产业领先·教育滞后,稳定提升型
X,厦门,2021,0.72064,0.848438,0.996678,0.784539,0.88427,良好协调,0.648285,0.0,0.087988,0.263727,供给规模,产业领先·教育滞后,稳定提升型
X,厦门,2022,0.796114,0.870498,0.999003,0.833306,0.912401,优质协调,0.611558,0.0,0.161962,0.226481,供给规模,产业领先·教育滞后,稳定提升型
X,厦门,2023,0.789438,0.94616,0.995915,0.867799,0.929652,优质协调,0.796369,0.0,0.044587,0.159044,供给规模,产业领先·教育滞后,稳定提升型
X,厦门,2024,0.834657,0.976833,0.996915,0.905745,0.950237,优质协调,0.877107,0.0,0.122893,0.0,供给规模,产业领先·教育滞后,稳定提升型
X,宁德,2019,0.0,0.034396,,,,不可计算,0.254375,0.254375,0.238403,0.252848,供给规模,不可计算,稳定提升型
X,宁德,2020,0.064246,0.026323,0.908117,0.045284,0.202789,中度失调,0.228212,0.261858,0.251221,0.258709,供给质量,双低失调,稳定提升型
X,宁德,2021,0.017247,0.042978,0.904135,0.030112,0.165002,严重失调,0.248871,0.257762,0.247083,0.246284,供给质量,双低失调,稳定提升型
X,宁德,2022,0.017037,0.0919,0.726455,0.054469,0.19892,严重失调,0.255392,0.264402,0.250528,0.229678,供给质量,双低失调,稳定提升型
X,宁德,2023,0.021501,0.165229,0.638397,0.093365,0.24414,中度失调,0.263887,0.275745,0.254904,0.205464,供给质量,双低失调,稳定提升型
X,宁德,2024,0.017216,0.149022,0.609386,0.083119,0.225059,中度失调,0.263275,0.272664,0.259431,0.20463,供给质量,双低失调,稳定提升型
X,泉州,2019,0.091629,0.085918,0.999483,0.088773,0.297871,中度失调,0.232949,0.265485,0.252539,0.249027,供给质量,双低失调,稳定提升型
X,泉州,2020,0.106302,0.086394,0.994649,0.096348,0.309568,轻度失调,0.226782,0.26771,0.253859,0.251649,供给质量,双低失调,稳定提升型
X,泉州,2021,0.198519,0.07608,0.895091,0.1373,0.350565,轻度失调,0.230805,0.233714,0.266687,0.268794,产业转化,双低失调,稳定提升型
X,泉州,2022,0.208404,0.068973,0.864475,0.138689,0.346256,轻度失调,0.225439,0.234091,0.271414,0.269056,产业承接,双低失调,稳定提升型
X,泉州,2023,0.207307,0.074637,0.882372,0.140972,0.352689,轻度失调,0.226677,0.234713,0.272878,0.265733,产业承接,双低失调,稳定提升型
X,泉州,2024,0.243392,0.070968,0.836156,0.15718,0.362528,轻度失调,0.209629,0.239227,0.279312,0.271833,产业承接,双低失调,稳定提升型
X,漳州,2019,0.07584,0.042614,0.959857,0.059227,0.238431,中度失调,0.242572,0.248599,0.252563,0.256267,产业转化,双低失调,稳定提升型
X,漳州,2020,0.10286,0.055153,0.953334,0.079007,0.274445,中度失调,0.259397,0.227653,0.258979,0.253971,供给规模,双低失调,稳定提升型
X,漳州,2021,0.146612,0.042445,0.834515,0.094528,0.280865,中度失调,0.266374,0.204866,0.26524,0.263521,供给规模,双低失调,稳定提升型
X,漳州,2022,0.143356,0.034375,0.78994,0.088866,0.26495,中度失调,0.266505,0.203592,0.263425,0.266478,供给规模,双低失调,稳定提升型
X,漳州,2023,0.141074,0.031649,0.773722,0.086362,0.258496,中度失调,0.267024,0.203034,0.267337,0.262605,产业承接,双低失调,稳定提升型
X,漳州,2024,0.142623,0.033903,0.787838,0.088263,0.263699,中度失调,0.266731,0.203458,0.268278,0.261533,产业承接,双低失调,稳定提升型
X,福州,2019,0.409258,0.608735,0.980614,0.508996,0.706491,中级协调,0.256609,0.344957,0.073543,0.324891,供给质量,产业领先·教育滞后,稳定提升型
X,福州,2020,0.598932,0.659879,0.998827,0.629405,0.792885,中级协调,0.279935,0.261179,0.101995,0.35689,产业转化,双高协调,稳定提升型
X,福州,2021,0.719348,0.687918,0.999751,0.703633,0.838724,良好协调,0.446212,0.027275,0.10577,0.420743,供给规模,双高协调,稳定提升型
X,福州,2022,0.820388,0.684996,0.995947,0.752692,0.865819,良好协调,0.330449,0.032685,0.155204,0.481661,产业转化,教育领先·产业滞后,稳定提升型
X,福州,2023,0.832922,0.742729,0.99836,0.787826,0.886867,良好协调,0.355631,0.038098,0.205877,0.400395,产业转化,教育领先·产业滞后,稳定提升型
X,福州,2024,0.983833,0.766436,0.992256,0.875135,0.931857,优质协调,0.0,0.064736,0.28502,0.650244,产业转化,教育领先·产业滞后,稳定提升型
X,莆田,2019,0.237857,,,,,不可计算,0.210081,0.4007,,0.389219,供给质量,不可计算,低位波动型
X,莆田,2020,0.206947,0.05633,0.820196,0.131638,0.328587,轻度失调,0.168739,0.287898,0.269185,0.274177,供给质量,双低失调,低位波动型
X,莆田,2021,0.223962,0.047915,0.762044,0.135938,0.321856,轻度失调,0.159733,0.289331,0.276208,0.274728,供给质量,双低失调,低位波动型
X,莆田,2022,0.148328,0.040973,0.823641,0.094651,0.27921,中度失调,0.194219,0.276137,0.262392,0.267253,供给质量,双低失调,低位波动型
X,莆田,2023,0.119465,0.045268,0.892824,0.082366,0.27118,中度失调,0.207346,0.27244,0.255623,0.264591,供给质量,双低失调,低位波动型
X,莆田,2024,0.090464,0.038811,0.916708,0.064637,0.243421,中度失调,0.218918,0.267276,0.254191,0.259614,供给质量,双低失调,低位波动型
X,龙岩,2019,0.056949,0.059717,0.999718,0.058333,0.241488,中度失调,0.243832,0.256902,0.246358,0.252907,供给质量,双低失调,稳定提升型
X,龙岩,2020,0.041298,0.094019,0.92098,0.067659,0.249624,中度失调,0.254665,0.259472,0.240956,0.244908,供给质量,双低失调,稳定提升型
X,龙岩,2021,0.07751,0.129166,0.968263,0.103338,0.31632,轻度失调,0.244605,0.269797,0.225619,0.259979,供给质量,双低失调,稳定提升型
X,龙岩,2022,0.080219,0.121075,0.979186,0.100647,0.31393,轻度失调,0.242367,0.26899,0.237268,0.251375,供给质量,双低失调,稳定提升型
X,龙岩,2023,0.053743,0.115716,0.930729,0.08473,0.280821,中度失调,0.252616,0.264312,0.235147,0.247926,供给质量,双低失调,稳定提升型
X,龙岩,2024,0.066471,0.114101,0.964586,0.090286,0.295107,中度失调,0.247163,0.265926,0.244213,0.242698,供给质量,双低失调,稳定提升型
